Rank,Region,Score,GDP,Social,Healthy,Freedom,Generosity,Corruption,Area,Population,Continent,Ocupation,Latitude,Longitude
136,Uganda,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,236040.0,42723139,AF,180.99957210642265,1.373333,32.290275
137,Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,1001450.0,98423595,AF,98.2810874232363,26.820553000000004,30.802497999999996
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,752614.0,17351822,AF,23.05540688852453,-13.133897,27.849332
139,Togo,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,56785.0,7889094,AF,138.9291890464031,8.619543,0.824782
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,3287590.0,1352617328,AS,411.4312697142892,20.593684,78.96288
141,Liberia,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,111370.0,4818977,AF,43.269973960671635,6.4280550000000005,-9.429499
142,Comoros,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,2170.0,832322,AF,383.5585253456221,-11.875001,43.872219
143,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,587040.0,26262368,AF,44.736931043881164,-18.766947000000002,46.869107
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,30355.0,2108132,AF,69.4492505353319,-29.609988,28.233608
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,27830.0,11175378,AF,401.5586776859504,-3.3730559999999996,29.918885999999997
146,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,390580.0,14439018,AF,36.96814481028215,-19.015438,29.154857
147,Haiti,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,27750.0,11123176,NT,400.83517117117117,18.971187,-72.28521500000001
148,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,600370.0,2254126,AF,3.7545613538318037,-22.328474,24.684866
149,Syria,3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331,0.141,185180.0,16906283,AS,91.29648450156604,34.802075,38.996815000000005
150,Malawi,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,118480.0,17563749,AF,148.24231093855502,-13.254307999999998,34.301525
151,Yemen,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,527970.0,28498687,AS,53.97785290830918,15.552726999999999,48.516388
152,Rwanda,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,26338.0,12301939,AF,467.0794669299112,-1.940278,29.873888
153,Tanzania,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,945087.0,56318348,AF,59.590649326464124,-6.369028,34.888822
154,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,647500.0,37172386,AS,57.40909034749035,33.93911,67.709953
155,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,622984.0,4666377,AF,7.4903641185006355,6.611111,20.939444
